study_orig;study_common
Pitteloud2020_S3;Pitteloud_2020
Pitteloud2020_S4;Pitteloud_2020
Pitteloud2020_S5;Pitteloud_2020
Pitteloud2020_S6;Pitteloud_2020
Pitteloud2020_S7;Pitteloud_2020
Pitteloud2020_S8;Pitteloud_2020
Pizo_2004;Pizo_2004
Plein 2013;Plein_2013
Plein_2013;Plein_2013
Plein_2013_Farmland_autumn;Plein_2013
Plein_2013_Farmland_summer;Plein_2013
Plein_2013_Forest_autumn;Plein_2013
Plein_2013_Orchard_autumn;Plein_2013
Plein_2013_Orchard_summer;Plein_2013
pocock2012;pocock2012
pocock2012_aphid;pocock2012
ponisio2017;ponisio2017
Popic et al. 2013;Popic et al. 2013
Popic PhD Thesis 2013;Popic et al. 2013
Pornon et al 2017;Pornon et al 2017
Poulin et al 1999;Poulin et al 1999
Poulin1999_psychotria;Poulin et al 1999
Poulsen 2001 2002 primates;Poulsen_2001
Poulsen_2001_2002_primates;Poulsen_2001
prado2004;prado2004
Prather 2000;Prather_2000
Prather_2000;Prather_2000
Pratt 1985;Pratt_1985
Pratt_1985;Pratt_1985
Preciado-Benitez 2015;Preciado-Benitez_2015
Preciado-Benitez_2015;Preciado-Benitez_2015
Primack 1983;Primack 1983
Primack1983-1;Primack 1983
Primack1983-2;Primack 1983
Primack1983-3;Primack 1983
primack1983art;Primack 1983
primack1983cass;Primack 1983
primack1983craig;Primack 1983
Purificacao 2014;Purificacao 2014
Purificacao_2014_forest_dry;Purificacao 2014
Purificacao_2014_savannah_dry;Purificacao 2014
Purificacao_2014_savannah_rainy;Purificacao 2014
Quijano-Vasquez 2017;Quijano-Vasquez_2017
Quijano-Vasquez_2017;Quijano-Vasquez_2017
Quitian 2018;Quitian_2018
Quitián_2018;Quitian_2018
Quitián_2018;Quitian_2018
Quitian_2018_1000Fragmented;Quitian_2018
Quitian_2018_1000Natural;Quitian_2018
Quitian_2018_2000Fragmented;Quitian_2018
Quitian_2018_2000Natural;Quitian_2018
r. filgueira2011;filgueira2011
R. W. Hiatt & D. W. Strasbourg 1960;R. W. Hiatt & D. W. Strasbourg 1960
ralph w. dexter1947;ralph w. dexter1947
Ramaswami 2017;Ramaswami_2017
Ramaswami_2017;Ramaswami_2017
Ramirez & Brito 1992;Ramirez1992
Ramirez 1989;Ramirez1989
Ramírez_2017;Ramírez_2017
ramirez1989;Ramirez1989
Ramirez1989;Ramirez1989
ramirez1992;Ramirez1992
Ramirez1992;Ramirez1992
Ramos_1999;Ramos_1999
Ramos_2005;Ramos_2005
Ramos_2016;Ramos_2016
Ramos-Robles 2016;Ramos_2016
Ramos-Robles 2018;Ramos-Robles_2018
Ramos-Robles_2016_net10;Ramos_2016
Ramos-Robles_2016_net2;Ramos_2016
Ramos-Robles_2016_net3;Ramos_2016
Ramos-Robles_2016_net4;Ramos_2016
Ramos-Robles_2016_net6;Ramos_2016
Ramos-Robles_2016_net7;Ramos_2016
Ramos-Robles_2016_net8;Ramos_2016
Ramos-Robles_2018;Ramos-Robles_2018
Rauque;Rauque
rayner2010;rayner2010
Razafindratsima 2013;Razafindratsima 2013
rd brodeur1992;brodeur1992
Reid 2011;Reid_2011
Reid_2011;Reid_2011
rejmanek and stary1979;rejmanek and stary1979
Rezende_2017;Rezende_2017
Ribeiro_2015;Ribeiro_2015
Ribeiro_2018;Ribeiro_2018
ricciardi2010;ricciardi2010
richard b. primack1983;Primack 1983
richards1926;richards1926
Richiardi et all 2010;ricciardi2010
Rios-Blanco 2015;Rios-Blanco 2015
roberson1929;Robertson 1929
robert r. christian1999;Christian & Luczkovich 1999
robert w. hiatt1960;R. W. Hiatt & D. W. Strasbourg 1960
Robertson 1929;Robertson 1929
robertson1929;Robertson 1929
Robinson 2015;Robinson_2015
Robinson et al 2018;Robinson et al 2018
Robinson_2015;Robinson_2015
robinson1953;robinson1953
Rocha_2011;Rocha_2011
Rodrigues and Rodrigues 2014;Rodrigues_2014
Rodrigues_2011;Rodrigues_2011
Rodrigues_2014;Rodrigues_2014
Rodrigues_2015;Rodrigues_2015
Romero_2011;Romero_2011
ronaldo angelini2010;angelini2010
Roopnarine2013;Roopnarine2013
Rosalino 2010;Rosalino 2010
Rosalino_2010;Rosalino_2010
rosenthal, r. j.1974;rosenthal, r. j.1974
Rosero-Lasprilla & Sazima 2004;Rosero-Lasprilla & Sazima 2004
ross m. thompson2004;thompson2004
Rost 2012;Rost 2012
Rozzi 1996;Rozzi_1996
Rozzi_1996;Rozzi_1996
Ruggera 2016;Ruggera_2016
Ruggera_2016;Ruggera_2016
Ruggera_2016_A;Ruggera_2016
Ruggera_2016_Chorro_de_Loros;Ruggera_2016
Ruggera_2016_EcoPortal;Ruggera_2016
Ruggera_2016_El_Noglar;Ruggera_2016
Ruggera_2016_La_Florida;Ruggera_2016
Ruggera_2016_Los_Chorizos;Ruggera_2016
Ruggera_2016_Pozo_Verde;Ruggera_2016
Ruggera_2016_Quebrada_del_Port;Ruggera_2016
Ruggera_2016_San_Javier;Ruggera_2016
Ruggera_2016_Sevenguillar;Ruggera_2016
Rumeu_2017;Rumeu_2017
S. Hobson 1974;Hobson 1974
s. z. qazim1970;qazim1970
Sa_2012;Sa_2012
SAAV;Saavedra_2014
SAAV1;Saavedra_2014
SAAV2;Saavedra_2014
Saavedra_2014;Saavedra_2014
Saavedra2017_initial_A;Saavedra_2017
Saavedra2017_initial_B;Saavedra_2017
Saavedra2017_initial_C;Saavedra_2017
Saavedra2017_late_A;Saavedra_2017
Saavedra2017_late_B;Saavedra_2017
Saavedra2017_late_C;Saavedra_2017
Saavedra2017_middle_A;Saavedra_2017
Saavedra2017_middle_B;Saavedra_2017
Saavedra2017_middle_C;Saavedra_2017
Sabatino et al. 2010;Sabatino_2010
Sabatino_1;Sabatino_2010
Sabatino_2;Sabatino_2010
Sabatino_3;Sabatino_2010
Sabatino_4;Sabatino_2010
Sabatino_5;Sabatino_2010
Sabino_2011;Sabino_2011
Saldana-Vasquez 2010;Saldana-Vasquez 2010
Sanchez 2012;Sanchez 2012
Sanchez_2012_Iguazu;Sanchez 2012
Sanguinetti_2012;Sanguinetti_2012
Sanitjan 2009;Sanitjan 2009
Sanitjan_2009_ML_primary_forest;Sanitjan 2009
Sanitjan_2009_XTBG_arboretum;Sanitjan 2009
Sanjaya2016;Sanjaya2016
Sankamethawee 2011;Sankamethawee_2011
Sankamethawee_2011;Sankamethawee_2011
Santiago 2014;Santiago 2014
Santiago_2014_close_to_remnant;Santiago 2014
Santiago_2014_far_from_remnant;Santiago 2014
Santos2006;Santos2006
Santos2010;Santos2010
SantosdeAraujo2019;SantosdeAraujo2019
SARM whole network from paper;Sarmento_2014
SARM_whole_network_from_paper;Sarmento_2014
savely_19391939;savely_1939
Sazatornil_2016;Sazatornil_2016
Sazima_1975;Sazima_1975
Sazima_1996;Sazima_1996
Schemske et al 1978;Schemske1978
schemske1978;Schemske1978
Schemske1978;Schemske1978
Scherer 2007;Scherer_2007
Scherer_2007;Scherer_2007
Schleuning et al 2010;Schleuning et al 2010
Schleuning_2011;Schleuning_2011
Schmitz_2005;Schmitz_2005
Schmitz_2009;Schmitz_2009
Schmitz_2019;Schmitz_2019
Schneiberg_2020;Schneiberg_2020
schneider1997;schneider1997
schoenly and reid1983;schoenly1983
schoenly1983;schoenly1983
seifert1976a;seifert1976
seifert1979;seifert1979
seifert2020_A;seifert2020
seifert2020_B;seifert2020
seifert2020_C;seifert2020
Sethi 2012;Sethi_2012
Sethi_2012;Sethi_2012
Shay2016;Shay2016
Shilton 2009;Shilton 2009
shimada2020;shimada2020
Shinohara2019_Abandoned_1;Shinohara_2019
Shinohara2019_Abandoned_2;Shinohara_2019
Shinohara2019_Abandoned_3;Shinohara_2019
Shinohara2019_Abandoned_4;Shinohara_2019
Shinohara2019_Extensively_managed_1;Shinohara_2019
Shinohara2019_Extensively_managed_2;Shinohara_2019
Shinohara2019_Extensively_managed_3;Shinohara_2019
Shinohara2019_Extensively_managed_4;Shinohara_2019
Shinohara2019_Intensively_managed_1;Shinohara_2019
Shinohara2019_Intensively_managed_2;Shinohara_2019
Shinohara2019_Intensively_managed_3;Shinohara_2019
Shinohara2019_Intensively_managed_4;Shinohara_2019
Sidorov et al 2016;Sidorov et al 2016
Silva et al 2002;Silva_2002
Silva Oliveira 2018;Silva_Oliveira_2018
Silva_2002;Silva_2002
Silva_2006;Silva_2006
Silva_2007;Silva_2007
Silva_2010;Silva_2010
Silva_2011;Silva_2011
Silva_2014;Silva_2014
Silva_Oliveira_2018;Silva_Oliveira_2018
silva2002;Silva_2002
Silveira 2006;Silveira_2006
Silveira_2006;Silveira_2006
Silveira_2014;Silveira_2014
Silveira2021_nonpreserved;Silveira_2021
Silveira2021_preserved;Silveira_2021
Simanonok & Burkle 2014;Simanonok & Burkle 2014
Simmen 1996;Simmen 1996
Singer_1999;Singer_1999
Singer_2001;Singer_2001
Singer_2001;Singer_2001
Singer_2002;Singer_2002
Singer_2004;Singer_2004
Singer_2007;Singer_2007
site01_period01_Martins;Martins_NA
site03_period01_Martins;Martins_NA
site04_period01_Martins;Martins_NA
site05_period01_Martins;Martins_NA
site06_period01_Martins;Martins_NA
site07_period01_Martins;Martins_NA
site08_period01_Martins;Martins_NA
site09_period01_Martins;Martins_NA
site10_period01_Martins;Martins_NA
Skeate 1985;Skeate_1985
Skeate_1985;Skeate_1985
Skutch 1980;Skutch_1980
Skutch_1980;Skutch_1980
Small 1976;Small1976
small1976;Small1976
Small1976;Small1976
Smidt_2006;Smidt_2006
Smith_2005;Smith_2005
Smith-Ramírez et al 2005;Smith_2005
smith-ramirez2005;Smith_2005
Smith-Ramirez2005;Smith_2005
Snow & Snow 1971;Snow & Snow 1971
Snow & Snow 1988;Snow 1988
Snow 1988;Snow 1988
Snow and Snow 1972;Snow_1972
Snow_1972;Snow_1972
Snow_1980;Snow_1980
Snow_1986;Snow_1986
Snow_1988_DJF;Snow 1988
Snow_1988_JJA;Snow 1988
Snow_1988_MAM;Snow 1988
Snow_1988_SON;Snow 1988
Soares_2018;Soares_2018
Sociobiology_2017;Lima_2017
Soh & Ngiam 2013;Soh & Ngiam 2013
Son 2019;Son 2019
Sonne_2019;Sonne_2019
Sorensen 1981;Sorensen_1981
Sorensen_1981;Sorensen_1981
Souza Gomes 2008;Souza Gomes 2008
Souza Laurindo 2017;Souza Laurindo 2017
Souza_2012;Souza_2012
Souza_2013;Souza_2013
Souza_cerrado;Souza_NA
Souza_chaco;Souza_NA
Souza_Gomes_2008_primary_forest;Souza Gomes 2008
Souza_Gomes_2008_secondary_fore;Souza Gomes 2008
Souza_Laurindo_2017;Souza_Laurindo_2017
Souza_pantanal;Souza_NA
Souza_vereda;Souza_NA
Spotswood 2012;Spotswood_2012
Spotswood_2012;Spotswood_2012
Sritongchuay et al 2019;Sritongchuay et al 2019
Sritongchuay_bat;Sritongchuay et al 2019
Stald 2003;Stald 2003
Stald et al 2003;Stald 2003
Stanley_2002;Stanley_2002
stary2008;Stary2008
Stary2008;Stary2008
Steiner_2010;Steiner_2010
Stevenson 2015;Stevenson 2015
stewart2011;stewart2011
Stiebel 2008;Stiebel 2008
Stiebel_2003;Stiebel_2003
Stireman2003;Stireman2003
Struck1994;Struck1994
Suarez-Castro 2015;Suarez-Castro_2015
Suarez-Castro_2015;Suarez-Castro_2015
Sudhakaran 2012;Sudhakaran 2012
Sugiura2007;Sugiura2007
Sugiura2010;Sugiura2010
sugiura2020;sugiura2020
summerhayes1928;summerhayes1928
Sun 1997;Sun 1997
Sutherland (1989), Havens (1992);Sutherland_1989
Suzuki 2007;Suzuki_2007
Suzuki_2007;Suzuki_2007
swan1961;swan1961
Sydenham2018;Sydenham2018
Szpeiner2008;Szpeiner2008
t. a. clarke1967;Clarke1967
t. s. petipa1970;Petipa1970
Tahar2015;Tahar2015
tavakilian1997;Tavakilian1997
Tavakilian1997;Tavakilian1997
Tavares 2007;Tavares_2007
Tavares_2007;Tavares_2007
tavares-cromar1996;tavares-cromar1996
tcharntke;tcharntke
teal1962;teal1962
Teles_2009;Teles_2009
thomas m. lancraft1991;Lancraft_1991
Thompson and Townsend 2000;Thompson_2000
Thompson and Townsend 2003;Thompson_2003
thompson2004;thompson2004
tilly1968;tilly1968
Timóteo_2018;Timóteo_2018
Tinoco_2017;Tinoco_2017
Todorov2014;Todorov2014
Toledo 2018;Toledo_2018
Toledo_2018;Toledo_2018
Torres et all 2013;Torres et all 2013
Townsend et al. (1998);Townsend_1998
Townsend et all 1998;Townsend_1998
Traveset 1992;Traveset_1992
Traveset et al 2013;Traveset et al 2013
Traveset_1992;Traveset_1992
Trojelsgaard et al 2015;Trojelsgaard_2015
Trojelsgaard_2015_Site1_WesternSahara1;Trojelsgaard_2015
Trojelsgaard_2015_Site10_TenerifeTeno2;Trojelsgaard_2015
Trojelsgaard_2015_Site11_Gomera1;Trojelsgaard_2015
Trojelsgaard_2015_Site12_Gomera2;Trojelsgaard_2015
Trojelsgaard_2015_Site13_Hierro1;Trojelsgaard_2015
Trojelsgaard_2015_Site14_Hierro2;Trojelsgaard_2015
Trojelsgaard_2015_Site2_WesternSahara2;Trojelsgaard_2015
Trojelsgaard_2015_Site3_Fuerteventura1;Trojelsgaard_2015
Trojelsgaard_2015_Site4_Fuerteventura2;Trojelsgaard_2015
Trojelsgaard_2015_Site5_GranCanaria1;Trojelsgaard_2015
Trojelsgaard_2015_Site6_GranCanaria2;Trojelsgaard_2015
Trojelsgaard_2015_Site7_TenerifeSouth1;Trojelsgaard_2015
Trojelsgaard_2015_Site8_TenerifeSouth2;Trojelsgaard_2015
Trojelsgaard_2015_Site9_TenerifeTeno1;Trojelsgaard_2015
Tur et al 2013;Tur_2013
Tur2013-CN;Tur_2013
Tur2013-PC;Tur_2013
Tutin et al 1997;Tutin1997
tutin1997;Tutin1997
Tutin1997;Tutin1997
twomey1945;twomey1945
ueckert;Ueckert
Ueckert;Ueckert
Ungar 1995;Ungar 1995
Unpublished, see Jordano 1993;Jordano_1993
v.h. cruz-escalona2007;Cruz-escalona_2007
valiela1974;valiela1974
Vanbergen et al 2013;Vanbergen et al 2013
varassin2012;Varassin2012
Varassin2012;Varassin2012
Vasconcelos_1999;Vasconcelos_1999
Vazquez;Vazquez_NA
Vázquez 2002;Vazquez_2002
vazquez2002;Vazquez_2002
Velazquez 2010;Velazquez_2010
Velazquez_2010;Velazquez_2010
VELHO;Velho_2012
Velho_2012;Velho_2012
VELHO2;Velho_2012
Villalobos et al 2019;Villalobos et al 2019
Villate Suarez 2017;Villate Suarez 2017
Vizentin;Vizentin_NA
Vizentin_2016;Vizentin-Bugoni_2016
Vizentin_2019;Vizentin-Bugoni_2019
Vizentin-Bugoni 2019;Vizentin-Bugoni_2019
Vizentin-Bugoni et al 2016;Vizentin-Bugoni_2016
Vizentin-Bugoni_2019_EKA;Vizentin-Bugoni_2019
Vizentin-Bugoni_2019_KAH;Vizentin-Bugoni_2019
Vizentin-Bugoni_2019_MOA;Vizentin-Bugoni_2019
Vizentin-Bugoni_2019_MTK;Vizentin-Bugoni_2019
Vizentin-Bugoni_2019_PAH;Vizentin-Bugoni_2019
Vizentin-Bugoni_2019_TAN;Vizentin-Bugoni_2019
Vizentin-Bugoni_2019_WAI;Vizentin-Bugoni_2019
Vleut 2015;Vleut 2015
Volf2017_Lanzhot;Volf2017
Volf2017_Mikulcice;Volf2017
Volf2017_Tomakomai;Volf2017
Vollstädt_2017;Vollstädt_2017
w. e. odum1975;odum1975
w. m. kemp1977;kemp1977
walker o smith2006;smith2006
Walther 2018;Walther_2018
Walther and Brieschke 2001;Walther_2001
Walther_2001;Walther_2001
Walther_2018;Walther_2018
Warren (1989);Warren_1989
warren1989;Warren_1989
Watts et al 2016;Watts_2016
Watts et al 2016 + thesis;Watts_2016
Watts_2016;Watts_2016
Weiner2011;Weiner2011
Welti & Joern 2018;Welti & Joern 2018
Wheelwright et al 1984;Wheelwright_1984
wheelwright1984;Wheelwright_1984
whittaker1984;whittaker1984
wilbur1972;wilbur1972
Williams 1996;Williams_1996
Williams_1996;Williams_1996
Williams_1996_Eves;Williams_1996
Williams_1996_Marsden;Williams_1996
Wilms 2006;Wilms_2006
Wilms_2006;Wilms_2006
Witt 1998;Witt1998
witt1998;Witt1998
Witt1998;Witt1998
Wolf_1976;Wolf_1976
Wolfe 2014;Wolfe_2014
Wolfe_2014;Wolfe_2014
Wood 1954;Wood 1954
Wyman 2017;Wyman_2017
Wyman_2017;Wyman_2017
Xi2020;Xi2020
Yamazaki & Kato 2003;Yamazaki2003
yamazaki2003;Yamazaki2003
Yamazaki2003;Yamazaki2003
yanez-arancibia, alejandro1978;yanez-arancibia, alejandro1978
Yasuda 2005;Yasuda 2005
Yoshihara et al 2008;Yoshihara et al 2008
Young 2012;Young_2012
Young_2012;Young_2012
Zamora-Delgado 2008;Zamora-Delgado_2008
Zamora-Delgado_2008;Zamora-Delgado_2008
Zapata-Mesa 2017;Zapata-Mesa 2017
Zapata-Mesa_2017_MR_September;Zapata-Mesa 2017
zaret1973;zaret1973
Zhu2018;Zhu2018
Zillikens_2011;Zillikens_2011
AI22_10;AI22_10
AI22_100;AI22_100
AI22_1000;AI22_1000
AI22_1001;AI22_1001
AI22_1002;AI22_1002
AI22_1003;AI22_1003
AI22_1004;AI22_1004
AI22_1005;AI22_1005
AI22_1006;AI22_1006
AI22_1007;AI22_1007
AI22_1008;AI22_1008
AI22_1009;AI22_1009
AI22_101;AI22_101
AI22_1010;AI22_1010
AI22_1013;AI22_1013
AI22_1014;AI22_1014
AI22_1015;AI22_1015
AI22_1016;AI22_1016
AI22_1018;AI22_1018
AI22_1028;AI22_1028
AI22_1030;AI22_1030
AI22_1031;AI22_1031
AI22_1032;AI22_1032
AI22_1036;AI22_1036
AI22_1038;AI22_1038
AI22_1046;AI22_1046
AI22_1047;AI22_1047
AI22_1053;AI22_1053
AI22_1054;AI22_1054
AI22_1056;AI22_1056
AI22_1058;AI22_1058
AI22_1059;AI22_1059
AI22_106;AI22_106
AI22_1060;AI22_1060
AI22_1064;AI22_1064
AI22_1065;AI22_1065
AI22_1066;AI22_1066
AI22_1067;AI22_1067
AI22_1068;AI22_1068
AI22_107;AI22_107
AI22_1070;AI22_1070
AI22_1072;AI22_1072
AI22_1074;AI22_1074
AI22_1076;AI22_1076
AI22_108;AI22_108
AI22_1082;AI22_1082
AI22_109;AI22_109
AI22_1090;AI22_1090
AI22_1091;AI22_1091
AI22_1094;AI22_1094
AI22_1095;AI22_1095
AI22_1096;AI22_1096
AI22_1097;AI22_1097
AI22_1098;AI22_1098
AI22_1099;AI22_1099
AI22_110;AI22_110
AI22_1100;AI22_1100
AI22_1101;AI22_1101
AI22_1104;AI22_1104
AI22_1105;AI22_1105
AI22_1107;AI22_1107
AI22_1109;AI22_1109
AI22_1110;AI22_1110
AI22_1111;AI22_1111
AI22_1112;AI22_1112
AI22_1113;AI22_1113
AI22_1116;AI22_1116
AI22_1117;AI22_1117
AI22_1118;AI22_1118
AI22_1120;AI22_1120
AI22_1121;AI22_1121
AI22_1122;AI22_1122
AI22_1123;AI22_1123
AI22_1124;AI22_1124
AI22_1125;AI22_1125
AI22_1126;AI22_1126
AI22_1127;AI22_1127
AI22_1128;AI22_1128
AI22_1129;AI22_1129
AI22_113;AI22_113
AI22_1130;AI22_1130
AI22_1131;AI22_1131
AI22_1132;AI22_1132
AI22_1133;AI22_1133
AI22_1134;AI22_1134
AI22_1135;AI22_1135
AI22_1136;AI22_1136
AI22_1137;AI22_1137
AI22_1138;AI22_1138
AI22_1139;AI22_1139
AI22_1140;AI22_1140
AI22_1142;AI22_1142
AI22_1144;AI22_1144
AI22_1145;AI22_1145
AI22_1147;AI22_1147
AI22_1148;AI22_1148
AI22_1149;AI22_1149
AI22_1151;AI22_1151
AI22_1153;AI22_1153
AI22_1154;AI22_1154
AI22_1156;AI22_1156
AI22_1158;AI22_1158
AI22_1160;AI22_1160
AI22_1161;AI22_1161
AI22_1162;AI22_1162
AI22_1163;AI22_1163
AI22_1164;AI22_1164
AI22_1165;AI22_1165
AI22_1166;AI22_1166
AI22_1168;AI22_1168
AI22_1170;AI22_1170
AI22_1171;AI22_1171
AI22_1172;AI22_1172
AI22_1173;AI22_1173
AI22_1174;AI22_1174
AI22_1176;AI22_1176
AI22_1178;AI22_1178
AI22_1179;AI22_1179
AI22_1180;AI22_1180
AI22_1182;AI22_1182
AI22_1184;AI22_1184
AI22_1185;AI22_1185
AI22_1186;AI22_1186
AI22_1188;AI22_1188
AI22_1190;AI22_1190
AI22_1193;AI22_1193
AI22_1194;AI22_1194
AI22_1196;AI22_1196
AI22_1198;AI22_1198
AI22_120;AI22_120
AI22_1200;AI22_1200
AI22_1202;AI22_1202
AI22_1204;AI22_1204
AI22_1205;AI22_1205
AI22_1206;AI22_1206
AI22_1207;AI22_1207
AI22_1208;AI22_1208
AI22_1209;AI22_1209
AI22_1210;AI22_1210
AI22_1212;AI22_1212
AI22_1215;AI22_1215
AI22_1218;AI22_1218
AI22_1219;AI22_1219
AI22_1220;AI22_1220
AI22_1221;AI22_1221
AI22_1222;AI22_1222
AI22_1223;AI22_1223
AI22_1224;AI22_1224
AI22_1225;AI22_1225
AI22_1227;AI22_1227
AI22_1228;AI22_1228
AI22_123;AI22_123
AI22_1232;AI22_1232
AI22_1234;AI22_1234
AI22_1236;AI22_1236
AI22_1238;AI22_1238
AI22_124;AI22_124
AI22_1262;AI22_1262
AI22_1268;AI22_1268
AI22_1269;AI22_1269
AI22_127;AI22_127
AI22_1270;AI22_1270
AI22_1271;AI22_1271
AI22_1279;AI22_1279
AI22_1287;AI22_1287
AI22_1288;AI22_1288
AI22_1289;AI22_1289
AI22_1296;AI22_1296
AI22_130;AI22_130
AI22_1306;AI22_1306
AI22_131;AI22_131
AI22_1348;AI22_1348
AI22_146;AI22_146
AI22_147;AI22_147
AI22_151;AI22_151
AI22_152;AI22_152
AI22_153;AI22_153
AI22_154;AI22_154
AI22_155;AI22_155
AI22_157;AI22_157
AI22_158;AI22_158
AI22_159;AI22_159
AI22_160;AI22_160
AI22_161;AI22_161
AI22_162;AI22_162
AI22_163;AI22_163
AI22_164;AI22_164
AI22_165;AI22_165
AI22_166;AI22_166
AI22_167;AI22_167
AI22_168;AI22_168
AI22_169;AI22_169
AI22_170;AI22_170
AI22_171;AI22_171
AI22_172;AI22_172
AI22_173;AI22_173
AI22_174;AI22_174
AI22_176;AI22_176
AI22_179;AI22_179
AI22_180;AI22_180
AI22_183;AI22_183
AI22_184;AI22_184
AI22_185;AI22_185
AI22_186;AI22_186
AI22_187;AI22_187
AI22_188;AI22_188
AI22_189;AI22_189
AI22_190;AI22_190
AI22_191;AI22_191
AI22_192;AI22_192
AI22_194;AI22_194
AI22_195;AI22_195
AI22_196;AI22_196
AI22_197;AI22_197
AI22_198;AI22_198
AI22_199;AI22_199
AI22_200;AI22_200
AI22_201;AI22_201
AI22_202;AI22_202
AI22_203;AI22_203
AI22_204;AI22_204
AI22_205;AI22_205
AI22_206;AI22_206
AI22_207;AI22_207
AI22_208;AI22_208
AI22_209;AI22_209
AI22_217;AI22_217
AI22_218;AI22_218
AI22_219;AI22_219
AI22_220;AI22_220
AI22_221;AI22_221
AI22_223;AI22_223
AI22_224;AI22_224
AI22_228;AI22_228
AI22_233;AI22_233
AI22_234;AI22_234
AI22_235;AI22_235
AI22_236;AI22_236
AI22_275;AI22_275
AI22_301;AI22_301
AI22_302;AI22_302
AI22_303;AI22_303
AI22_304;AI22_304
AI22_308;AI22_308
AI22_310;AI22_310
AI22_311;AI22_311
AI22_312;AI22_312
AI22_314;AI22_314
AI22_315;AI22_315
AI22_316;AI22_316
AI22_317;AI22_317
AI22_319;AI22_319
AI22_32;AI22_32
AI22_320;AI22_320
AI22_321;AI22_321
AI22_323;AI22_323
AI22_324;AI22_324
AI22_325;AI22_325
AI22_326;AI22_326
AI22_327;AI22_327
AI22_328;AI22_328
AI22_330;AI22_330
AI22_331;AI22_331
AI22_332;AI22_332
AI22_333;AI22_333
AI22_334;AI22_334
AI22_336;AI22_336
AI22_337;AI22_337
AI22_341;AI22_341
AI22_342;AI22_342
AI22_343;AI22_343
AI22_345;AI22_345
AI22_346;AI22_346
AI22_348;AI22_348
AI22_350;AI22_350
AI22_352;AI22_352
AI22_353;AI22_353
AI22_354;AI22_354
AI22_355;AI22_355
AI22_356;AI22_356
AI22_357;AI22_357
AI22_358;AI22_358
AI22_359;AI22_359
AI22_360;AI22_360
AI22_361;AI22_361
AI22_362;AI22_362
AI22_363;AI22_363
AI22_364;AI22_364
AI22_365;AI22_365
AI22_366;AI22_366
AI22_367;AI22_367
AI22_368;AI22_368
AI22_370;AI22_370
AI22_371;AI22_371
AI22_374;AI22_374
AI22_375;AI22_375
AI22_376;AI22_376
AI22_377;AI22_377
AI22_378;AI22_378
AI22_380;AI22_380
AI22_381;AI22_381
AI22_382;AI22_382
AI22_383;AI22_383
AI22_384;AI22_384
AI22_388;AI22_388
AI22_389;AI22_389
AI22_390;AI22_390
AI22_391;AI22_391
AI22_392;AI22_392
AI22_393;AI22_393
AI22_394;AI22_394
AI22_395;AI22_395
AI22_397;AI22_397
AI22_398;AI22_398
AI22_399;AI22_399
AI22_400;AI22_400
AI22_410;AI22_410
AI22_411;AI22_411
AI22_412;AI22_412
AI22_413;AI22_413
AI22_414;AI22_414
AI22_415;AI22_415
AI22_416;AI22_416
AI22_417;AI22_417
AI22_418;AI22_418
AI22_419;AI22_419
AI22_420;AI22_420
AI22_421;AI22_421
AI22_422;AI22_422
AI22_423;AI22_423
AI22_424;AI22_424
AI22_425;AI22_425
AI22_426;AI22_426
AI22_427;AI22_427
AI22_428;AI22_428
AI22_431;AI22_431
AI22_432;AI22_432
AI22_436;AI22_436
AI22_437;AI22_437
AI22_438;AI22_438
AI22_439;AI22_439
AI22_440;AI22_440
AI22_441;AI22_441
AI22_442;AI22_442
AI22_443;AI22_443
AI22_444;AI22_444
AI22_445;AI22_445
AI22_446;AI22_446
AI22_447;AI22_447
AI22_449;AI22_449
AI22_451;AI22_451
AI22_452;AI22_452
AI22_453;AI22_453
AI22_454;AI22_454
AI22_455;AI22_455
AI22_456;AI22_456
AI22_457;AI22_457
AI22_458;AI22_458
AI22_460;AI22_460
AI22_461;AI22_461
AI22_462;AI22_462
AI22_463;AI22_463
AI22_465;AI22_465
AI22_467;AI22_467
AI22_468;AI22_468
AI22_470;AI22_470
AI22_472;AI22_472
AI22_473;AI22_473
AI22_475;AI22_475
AI22_477;AI22_477
AI22_478;AI22_478
AI22_479;AI22_479
AI22_480;AI22_480
AI22_481;AI22_481
AI22_483;AI22_483
AI22_484;AI22_484
AI22_485;AI22_485
AI22_486;AI22_486
AI22_487;AI22_487
AI22_488;AI22_488
AI22_490;AI22_490
AI22_491;AI22_491
AI22_492;AI22_492
AI22_494;AI22_494
AI22_495;AI22_495
AI22_496;AI22_496
AI22_497;AI22_497
AI22_499;AI22_499
AI22_500;AI22_500
AI22_502;AI22_502
AI22_503;AI22_503
AI22_505;AI22_505
AI22_506;AI22_506
AI22_508;AI22_508
AI22_510;AI22_510
AI22_512;AI22_512
AI22_513;AI22_513
AI22_514;AI22_514
AI22_516;AI22_516
AI22_517;AI22_517
AI22_518;AI22_518
AI22_520;AI22_520
AI22_521;AI22_521
AI22_523;AI22_523
AI22_525;AI22_525
AI22_526;AI22_526
AI22_528;AI22_528
AI22_530;AI22_530
AI22_532;AI22_532
AI22_533;AI22_533
AI22_535;AI22_535
AI22_536;AI22_536
AI22_537;AI22_537
AI22_539;AI22_539
AI22_541;AI22_541
AI22_543;AI22_543
AI22_545;AI22_545
AI22_547;AI22_547
AI22_549;AI22_549
AI22_551;AI22_551
